d,date,day
228,27/11/2019,Wednesday
229,28/11/2019,Thursday
230,29/11/2019,Friday
231,2/12/2019,Monday
232,3/12/2019,Tuesday
233,4/12/2019,Wednesday
234,5/12/2019,Thursday
235,6/12/2019,Friday
236,9/12/2019,Monday
237,10/12/2019,Tuesday
238,11/12/2019,Wednesday
239,12/12/2019,Thursday
240,13/12/2019,Friday
241,16/12/2019,Monday
242,17/12/2019,Tuesday
243,18/12/2019,Wednesday
244,19/12/2019,Thursday
245,20/12/2019,Friday
246,23/12/2019,Monday
247,24/12/2019,Tuesday
248,27/12/2019,Friday
249,30/12/2019,Monday
250,31/12/2019,Tuesday
