2/01/2019,Wednesday
3/01/2019,Thursday
4/01/2019,Friday
7/01/2019,Monday
8/01/2019,Tuesday
9/01/2019,Wednesday
10/01/2019,Thursday
11/01/2019,Friday
14/01/2019,Monday
15/01/2019,Tuesday
16/01/2019,Wednesday
17/01/2019,Thursday
18/01/2019,Friday
21/01/2019,Monday
22/01/2019,Tuesday
23/01/2019,Wednesday
24/01/2019,Thursday
25/01/2019,Friday
29/01/2019,Tuesday
30/01/2019,Wednesday
31/01/2019,Thursday
1/02/2019,Friday
4/02/2019,Monday
5/02/2019,Tuesday
6/02/2019,Wednesday
7/02/2019,Thursday
8/02/2019,Friday
11/02/2019,Monday
12/02/2019,Tuesday
13/02/2019,Wednesday
14/02/2019,Thursday
15/02/2019,Friday
18/02/2019,Monday
19/02/2019,Tuesday
20/02/2019,Wednesday
21/02/2019,Thursday
22/02/2019,Friday
25/02/2019,Monday
26/02/2019,Tuesday
27/02/2019,Wednesday
28/02/2019,Thursday
1/03/2019,Friday
4/03/2019,Monday
5/03/2019,Tuesday
6/03/2019,Wednesday
7/03/2019,Thursday
8/03/2019,Friday
12/03/2019,Tuesday
13/03/2019,Wednesday
14/03/2019,Thursday
15/03/2019,Friday
18/03/2019,Monday
19/03/2019,Tuesday
20/03/2019,Wednesday
21/03/2019,Thursday
22/03/2019,Friday
25/03/2019,Monday
26/03/2019,Tuesday
27/03/2019,Wednesday
28/03/2019,Thursday
29/03/2019,Friday
1/04/2019,Monday
2/04/2019,Tuesday
3/04/2019,Wednesday
4/04/2019,Thursday
5/04/2019,Friday
8/04/2019,Monday
9/04/2019,Tuesday
10/04/2019,Wednesday
11/04/2019,Thursday
12/04/2019,Friday
15/04/2019,Monday
16/04/2019,Tuesday
17/04/2019,Wednesday
18/04/2019,Thursday
23/04/2019,Tuesday
24/04/2019,Wednesday
26/04/2019,Friday
29/04/2019,Monday
30/04/2019,Tuesday
1/05/2019,Wednesday
2/05/2019,Thursday
3/05/2019,Friday
6/05/2019,Monday
7/05/2019,Tuesday
8/05/2019,Wednesday
9/05/2019,Thursday
10/05/2019,Friday
13/05/2019,Monday
14/05/2019,Tuesday
15/05/2019,Wednesday
16/05/2019,Thursday
17/05/2019,Friday
20/05/2019,Monday
21/05/2019,Tuesday
22/05/2019,Wednesday
23/05/2019,Thursday
24/05/2019,Friday
27/05/2019,Monday
28/05/2019,Tuesday
29/05/2019,Wednesday
30/05/2019,Thursday
31/05/2019,Friday
3/06/2019,Monday
4/06/2019,Tuesday
5/06/2019,Wednesday
6/06/2019,Thursday
7/06/2019,Friday
11/06/2019,Tuesday
12/06/2019,Wednesday
13/06/2019,Thursday
14/06/2019,Friday
17/06/2019,Monday
18/06/2019,Tuesday
19/06/2019,Wednesday
20/06/2019,Thursday
21/06/2019,Friday
24/06/2019,Monday
25/06/2019,Tuesday
26/06/2019,Wednesday
27/06/2019,Thursday
28/06/2019,Friday
